store_number,store_name,sale_date,total_sales
1,IGA 1,2025-06-01,23651.720000000696
2,IGA #002,2025-06-01,12867.159999999953
440,Buy Low #440,2025-06-01,31503.629999999852
1,IGA 1,2025-06-02,22397.15000000042
2,IGA #002,2025-06-02,8687.549999999876
440,Buy Low #440,2025-06-02,29610.130000001398
1,IGA 1,2025-06-03,20781.319999999847
2,IGA #002,2025-06-03,10791.579999999947
440,Buy Low #440,2025-06-03,37911.980000000156
1,IGA 1,2025-06-04,20014.390000000287
2,IGA #002,2025-06-04,10082.0799999999
440,Buy Low #440,2025-06-04,29268.860000001463
1,IGA 1,2025-06-05,21255.689999999784
2,IGA #002,2025-06-05,11648.019999999906
440,Buy Low #440,2025-06-05,26623.059999999823
1,IGA 1,2025-06-06,26887.730000000047
2,IGA #002,2025-06-06,15978.90999999989
440,Buy Low #440,2025-06-06,34631.950000000994
1,IGA 1,2025-06-07,29468.31000000086
2,IGA #002,2025-06-07,15877.959999999908
440,Buy Low #440,2025-06-07,29875.420000001406
1,IGA 1,2025-06-08,25894.829999999783
2,IGA #002,2025-06-08,13364.259999999937
440,Buy Low #440,2025-06-08,35909.4100000011
1,IGA 1,2025-06-09,20524.460000000123
2,IGA #002,2025-06-09,11649.83999999989
440,Buy Low #440,2025-06-09,26125.5299999998
1,IGA 1,2025-06-10,21558.06999999976
2,IGA #002,2025-06-10,11737.439999999931
440,Buy Low #440,2025-06-10,37096.32000000065
1,IGA 1,2025-06-11,23747.240000000445
2,IGA #002,2025-06-11,11737.759999999884
440,Buy Low #440,2025-06-11,29438.530000001403
1,IGA 1,2025-06-12,25772.27999999981
2,IGA #002,2025-06-12,13564.09999999996
440,Buy Low #440,2025-06-12,27963.900000000816
1,IGA 1,2025-06-13,29412.150000000933
2,IGA #002,2025-06-13,16867.33999999988
1,IGA 1,2025-06-14,31365.320000001153
2,IGA #002,2025-06-14,16573.59999999988
440,Buy Low #440,2025-06-14,32526.479999999923
1,IGA 1,2025-06-15,27864.350000000457
2,IGA #002,2025-06-15,13660.829999999976
440,Buy Low #440,2025-06-15,34515.20000000042
